id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38426481,*The Peace Place* Private Townhouse in the Woods,290850305,Scott And Marilou,,28806,35.55022,-82.62722,Entire home/apt,200,1,0,,,1,349
38448857,Charming Private Studio near the Biltmore Village,34992675,Michelle,,28803,35.54565,-82.53302,Entire home/apt,90,2,0,,,1,162
38453728,"Quiet, Safe, Well-Appointed, Excellent Location",293140550,Dena,,28806,35.58201,-82.57214,Private room,64,14,0,,,1,79
38491874,Walk to Downtown Asheville Plus Excellent Views,85510477,Ryan,,28801,35.59326,-82.5421,Entire home/apt,100,1,0,,,2,36
38530930,"The Glenway House ~A Quiet Retreat ""Suite 1""",267148766,Michael,,28804,35.63999,-82.51982,Private room,59,2,0,,,2,175
38538781,"Detached Guest House, Private,Walkable W.Asheville",94272182,Thomas,,28806,35.58011,-82.58965,Entire home/apt,105,2,0,,,1,50
38541159,Dove Cottage,197064144,Claire Elizabeth,,28804,35.61299,-82.55467,Private room,47,1,0,,,1,170
38550739,"Asheville Escape: 3 beds, 2 baths PET FRIENDLY",294126808,James,,28806,35.52455,-82.61321,Entire home/apt,122,1,0,,,3,240
38551571,"Asheville Escape: One Bed, One Bath PET FRIENDLY",294126808,James,,28806,35.52503,-82.61288,Entire home/apt,60,1,0,,,3,354
38551945,"Asheville Gem Next To New Belgium, Food & Floating",294026967,Maddi,,28806,35.58475,-82.57009,Entire home/apt,99,1,2,2019-09-23,2,1,70
38568166,Bright & Spacious Private Getaway,41909545,Christal,,28801,35.60245,-82.55599,Entire home/apt,100,1,1,2019-09-15,1,2,1
38573541,Bear-a-dise Found,71812166,Heidi & Ricky,,28806,35.55841,-82.60405,Entire home/apt,159,3,0,,,6,355
38600691,Maxwell Cottage,154597390,Steve,,28805,35.59699,-82.4822,Entire home/apt,180,2,0,,,2,154
38615105,Home Away From Home,2392127,David And Melissa,,28806,35.5828,-82.57999,Entire home/apt,150,60,0,,,4,117
38616361,"Complete private suite - Sierra Nevada, Asheville",84784954,Neil,,28732,35.46037,-82.4717,Entire home/apt,88,1,1,2019-09-23,1,1,153
38627407,PEACEFUL ROOM | Walk Downtown | Eco Homestay,281471581,Joanie,,28801,35.58628,-82.54918,Private room,59,1,0,,,4,90
38642094,Private apartment near Blue Ridge Parkway,137884684,Roger,,28805,35.59549,-82.47944,Entire home/apt,65,2,0,,,1,70
38647370,Asheville Cottages-Immaculate Luxurious Cottages,53185861,"Asheville Cottages, Inc.",,28806,35.52038,-82.61543,Entire home/apt,359,2,0,,,9,332
38659759,Bohemian Bungalow,71812166,Heidi & Ricky,,28806,35.53233,-82.61934,Entire home/apt,159,3,0,,,6,358
38670161,New luxury condo in heart of downtown Asheville~55 S.Market St. #207,167186184,Towns,,28801,35.59399,-82.55111,Entire home/apt,295,1,0,,,47,346
38698255,Asheville Escape: PET FRIENDLY Studio Apartment,294126808,James,,28806,35.52404,-82.61154,Entire home/apt,77,1,0,,,3,257
38702298,"Sweet 40's Bungalow, 5 mins to Biltmore/10 mins DT",60088716,Kelsianne,,28803,35.55162,-82.51536,Private room,85,2,0,,,1,140
38710999,Newly renovated charming condo in Historic King James Building #6,167186184,Towns,,28801,35.60383,-82.54772,Entire home/apt,195,1,0,,,47,266
38711002,New luxury 2 bdr/2 bath condo located in the heart of downtown Asheville,167186184,Towns,,28801,35.59424,-82.55025,Entire home/apt,495,1,0,,,47,337
38784372,New luxury condo in downtown Asheville,167186184,Towns,,28801,35.59229,-82.55761,Entire home/apt,395,1,0,,,47,352
38784373,"New, luxury 1 bdr/1 bath condo in heart of downtown Asheville~55. S. Market #107",167186184,Towns,,28801,35.5926,-82.55018,Entire home/apt,295,1,0,,,47,353
38796139,Master Room: Mountainside Private Room & Pvt. Bath,16296123,Allison & Peter,,28803,35.4904,-82.51441,Private room,38,1,0,,,3,85
38817764,Relaxing Modern Retreat By The River! Entire House,276943292,Mailing,,28804,35.62415,-82.57946,Entire home/apt,111,1,0,,,3,353
38825791,Cozy Asheville studio apartment with a view,40328496,Nansi,,28803,35.56717,-82.52308,Private room,60,1,0,,,1,70
38826892,ASHEVILLE FRESH MOUNTAIN AIR,297256170,Andy,,28804,35.65287,-82.57909,Entire home/apt,350,3,0,,,1,179
38842684,Hidden House in the Mountains,83353651,Tracey,,28803,35.53419,-82.48315,Entire home/apt,500,3,0,,,1,303
38867480,Tent Rent Asheville (Complete Outdoor Gear Rental),14649701,Nicole,,28803,35.4835,-82.51972,Entire home/apt,70,2,0,,,2,365
